,SurveyType,SurveyYear,Location,Indicator,Mean_value
0,DHS,1992,Butare,Antenatal care from a skilled provider,89.59999999999998
1,DHS,1992,Butare,Antenatal visits for pregnancy: 4+ visits,12.6
2,DHS,1992,Butare,Assistance during delivery from a skilled provider,31.299999999999997
3,DHS,1992,Butare,BCG vaccination received,94.4
4,DHS,1992,Butare,Child mortality rate,94.0
5,DHS,1992,Butare,Children stunted,59.0
6,DHS,1992,Butare,Children underweight,34.3
7,DHS,1992,Butare,Children wasted,4.0
8,DHS,1992,Butare,Children with ARI for whom advice or treatment was sought,45.099999999999994
9,DHS,1992,Butare,Children with diarrhea,26.1
10,DHS,1992,Butare,Children with fever for whom advice or treatment was sought,42.45
11,DHS,1992,Butare,Children with fever in the last two weeks,50.8
12,DHS,1992,Butare,Children with symptoms of ARI,34.75
13,DHS,1992,Butare,DPT 3 vaccination received,87.5
14,DHS,1992,Butare,Delivery by cesarean section,2.6333333333333333
15,DHS,1992,Butare,Demand for family planning satisfied,26.9
16,DHS,1992,Butare,Demand for family planning satisfied by modern methods,13.7
17,DHS,1992,Butare,Fully vaccinated (8 basic antigens),87.5
18,DHS,1992,Butare,General fertility rate,155.0
19,DHS,1992,Butare,Households with electricity,1.6
20,DHS,1992,Butare,Infant mortality rate,108.0
21,DHS,1992,Butare,Married women currently using any method of contraception,15.1
22,DHS,1992,Butare,Married women currently using any modern method of contraception,7.7
23,DHS,1992,Butare,Mean ideal number of children for all women,4.3
24,DHS,1992,Butare,Measles vaccination received,91.7
25,DHS,1992,Butare,Median age at first birth for women age 25-49,22.1
26,DHS,1992,Butare,"Median age at first marriage [Men]: 25-49(54,59)",23.2
27,DHS,1992,Butare,Median age at first marriage [Women]: 25-49,20.7
28,DHS,1992,Butare,Median age at first sexual intercourse [Women]: 25-49,20.4
29,DHS,1992,Butare,Median duration of any breastfeeding,31.8
30,DHS,1992,Butare,Median duration of exclusive breastfeeding,6.0
31,DHS,1992,Butare,Median duration of predominant breastfeeding,6.0
32,DHS,1992,Butare,Men with no education,20.5
